State,Average Rate:,,,,
,,,,,
,Apr-18,,,,
Alabama,12.79,,,,
Alaska,21.61,,,,
Arizona,13.09,,,,
Arkansas,10,,,,
California,16.08,,,,
Colorado,12.06,,,,
Connecticut,21.44,,,,
DC,13.72,,,,
Delaware,12.85,,,,
Florida,11.36,,,,
Georgia,11.19,,,,
Hawaii,31.21,,,,
Idaho,10.13,,,,
Illinois,13.04,,,,
Indiana,12.31,,,,
Iowa,12.24,,,,
Kansas,13.59,,,,
Kentucky,10.62,,,,
Louisiana,9.8,,,,
Maine,15.74,,,,
Maryland,13.37,,,,
Massachusetts,22.34,,,,
Michigan,15.67,,,,
Minnesota,12.88,,,,
Mississippi,12.17,,,,
Missouri,10.36,,,,
Montana,11.02,,,,
Nebraska,10.55,,,,
Nevada,12.34,,,,
New Hampshire,19.8,,,,
New Jersey,15.59,,,,
New Mexico,12.58,,,,
New York,18,,,,
North Carolina,11.89,,,,
North Dakota,10.03,,,,
Ohio,12.66,,,,
Oklahoma,11.05,,,,
Oregon,10.86,,,,
Pennsylvania,14.1,,,,
Rhode Island,20.47,,,,
South Carolina,13.21,,,,
South Dakota,11.23,,,,
Tennessee,10.81,,,,
Texas,11.65,,,,
Utah,10.52,,,,
Vermont,17.92,,,,
Virginia,11.85,,,,
Washington,9.74,,,,
West Virginia,11.47,,,,
Wisconsin,14.69,,,,
Wyoming,11.29,,,,
,,,,,
,,,,,
